---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos, educational resources",8
"Articles, videos & educational resources:","Career growth and working with other people",55
"Articles, videos & educational resources:","Examples and inspiration requests",16
"Articles, videos & educational resources:","Feedback request",25
"Articles, videos & educational resources:","How do I/How do you",7
"Articles, videos & educational resources:","Job search and hiring",17
"Articles, videos & educational resources:","Tools, apps, plugins",6
"Junior careers:","Career growth and working with other people",2
"Junior careers:","Feedback request",1
"Junior careers:","Job search and hiring",1
"Senior careers:","Articles, videos, educational resources",1
"Senior careers:","Career growth and working with other people",103
"Senior careers:","Examples and inspiration requests",3
"Senior careers:","Feedback request",47
"Senior careers:","How do I/How do you",2
"Senior careers:","Job search and hiring",205
"Senior careers:","Tools, apps, plugins",1
"Tools & apps:","Articles, videos, educational resources",2
"Tools & apps:","Career growth and working with other people",29
"Tools & apps:","Examples and inspiration requests",8
"Tools & apps:","Feedback request",47
"Tools & apps:","How do I/How do you",6
"Tools & apps:","Job search and hiring",12
"Tools & apps:","Tools, apps, plugins",86
"UI Design:","Articles, videos, educational resources",2
"UI Design:","Career growth and working with other people",35
"UI Design:","Examples and inspiration requests",31
"UI Design:","Feedback request",132
"UI Design:","How do I/How do you",9
"UI Design:","Job search and hiring",18
"UI Design:","Tools, apps, plugins",11
"UX Design:","Articles, videos, educational resources",4
"UX Design:","Career growth and working with other people",90
"UX Design:","Examples and inspiration requests",40
"UX Design:","Feedback request",180
"UX Design:","How do I/How do you",16
"UX Design:","Job search and hiring",75
"UX Design:","Tools, apps, plugins",11
"UX Research:","Articles, videos, educational resources",2
"UX Research:","Career growth and working with other people",27
"UX Research:","Examples and inspiration requests",21
"UX Research:","Feedback request",56
"UX Research:","How do I/How do you",20
"UX Research:","Job search and hiring",17
"UX Research:","Tools, apps, plugins",13
"UX Strategy & Management:","Articles, videos, educational resources",1
"UX Strategy & Management:","Career growth and working with other people",140
"UX Strategy & Management:","Examples and inspiration requests",14
"UX Strategy & Management:","Feedback request",75
"UX Strategy & Management:","How do I/How do you",3
"UX Strategy & Management:","Job search and hiring",41
"UX Strategy & Management:","Tools, apps, plugins",3
"UX Writing:","Career growth and working with other people",4
"UX Writing:","Examples and inspiration requests",3
"UX Writing:","Feedback request",10
"UX Writing:","How do I/How do you",2
"UX Writing:","Job search and hiring",1
"UX Writing:","Tools, apps, plugins",2
