---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Career Advice",26
"Articles, videos & educational resources:","Cluster 1",19
"Articles, videos & educational resources:","Critique & Discussion",23
"Articles, videos & educational resources:","Design Critique",5
"Articles, videos & educational resources:","Figma Tools & Tips",5
"Articles, videos & educational resources:","Job Hunting",7
"Articles, videos & educational resources:","UX Careers & Culture",49
"Junior careers:","Job Hunting",2
"Junior careers:","UX Careers & Culture",2
"Senior careers:","Career Advice",147
"Senior careers:","Cluster 1",6
"Senior careers:","Critique & Discussion",3
"Senior careers:","Figma Tools & Tips",3
"Senior careers:","Job Hunting",159
"Senior careers:","UX Careers & Culture",44
"Tools & apps:","Career Advice",2
"Tools & apps:","Cluster 1",48
"Tools & apps:","Critique & Discussion",20
"Tools & apps:","Design Critique",13
"Tools & apps:","Figma Tools & Tips",73
"Tools & apps:","Job Hunting",10
"Tools & apps:","UX Careers & Culture",24
"UI Design:","Career Advice",19
"UI Design:","Cluster 1",23
"UI Design:","Critique & Discussion",32
"UI Design:","Design Critique",82
"UI Design:","Figma Tools & Tips",20
"UI Design:","Job Hunting",7
"UI Design:","UX Careers & Culture",55
"UX Design:","Career Advice",74
"UX Design:","Cluster 1",38
"UX Design:","Critique & Discussion",56
"UX Design:","Design Critique",86
"UX Design:","Figma Tools & Tips",21
"UX Design:","Job Hunting",38
"UX Design:","UX Careers & Culture",103
"UX Research:","Career Advice",10
"UX Research:","Cluster 1",55
"UX Research:","Critique & Discussion",25
"UX Research:","Design Critique",16
"UX Research:","Figma Tools & Tips",4
"UX Research:","Job Hunting",3
"UX Research:","UX Careers & Culture",43
"UX Strategy & Management:","Career Advice",49
"UX Strategy & Management:","Cluster 1",16
"UX Strategy & Management:","Critique & Discussion",13
"UX Strategy & Management:","Design Critique",10
"UX Strategy & Management:","Figma Tools & Tips",7
"UX Strategy & Management:","Job Hunting",44
"UX Strategy & Management:","UX Careers & Culture",138
"UX Writing:","Career Advice",1
"UX Writing:","Cluster 1",8
"UX Writing:","Critique & Discussion",3
"UX Writing:","Design Critique",5
"UX Writing:","Job Hunting",2
"UX Writing:","UX Careers & Culture",3
