---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Career Development",35
"Articles, videos & educational resources:","Job Hunting",5
"Articles, videos & educational resources:","UI Design",13
"Articles, videos & educational resources:","UX Career Challenges",8
"Articles, videos & educational resources:","UX Discourse",45
"Articles, videos & educational resources:","UX Tools & Discussion",21
"Articles, videos & educational resources:","Work Environment",7
"Junior careers:","Job Hunting",1
"Junior careers:","UX Career Challenges",1
"Junior careers:","Work Environment",2
"Senior careers:","Career Development",23
"Senior careers:","Job Hunting",134
"Senior careers:","UI Design",3
"Senior careers:","UX Career Challenges",108
"Senior careers:","UX Discourse",41
"Senior careers:","UX Tools & Discussion",3
"Senior careers:","Work Environment",50
"Tools & apps:","Career Development",24
"Tools & apps:","Job Hunting",7
"Tools & apps:","UI Design",15
"Tools & apps:","UX Career Challenges",4
"Tools & apps:","UX Discourse",7
"Tools & apps:","UX Tools & Discussion",118
"Tools & apps:","Work Environment",15
"UI Design:","Career Development",12
"UI Design:","Job Hunting",8
"UI Design:","UI Design",97
"UI Design:","UX Career Challenges",5
"UI Design:","UX Discourse",29
"UI Design:","UX Tools & Discussion",43
"UI Design:","Work Environment",44
"UX Design:","Career Development",35
"UX Design:","Job Hunting",26
"UX Design:","UI Design",118
"UX Design:","UX Career Challenges",48
"UX Design:","UX Discourse",75
"UX Design:","UX Tools & Discussion",45
"UX Design:","Work Environment",69
"UX Research:","Career Development",59
"UX Research:","Job Hunting",2
"UX Research:","UI Design",37
"UX Research:","UX Career Challenges",8
"UX Research:","UX Discourse",9
"UX Research:","UX Tools & Discussion",15
"UX Research:","Work Environment",26
"UX Strategy & Management:","Career Development",34
"UX Strategy & Management:","Job Hunting",34
"UX Strategy & Management:","UI Design",23
"UX Strategy & Management:","UX Career Challenges",34
"UX Strategy & Management:","UX Discourse",46
"UX Strategy & Management:","UX Tools & Discussion",8
"UX Strategy & Management:","Work Environment",98
"UX Writing:","Career Development",7
"UX Writing:","Job Hunting",1
"UX Writing:","UI Design",8
"UX Writing:","UX Discourse",3
"UX Writing:","Work Environment",3
