---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos, educational resources",23
"Articles, videos & educational resources:","Career growth and working with other people",25
"Articles, videos & educational resources:","Examples and inspiration requests",14
"Articles, videos & educational resources:","Feedback request",1
"Articles, videos & educational resources:","How do I/How do you",2
"Articles, videos & educational resources:","Job search and hiring",5
"Junior careers:","Career growth and working with other people",2
"Junior careers:","Job search and hiring",1
"Senior careers:","Articles, videos, educational resources",1
"Senior careers:","Career growth and working with other people",91
"Senior careers:","Examples and inspiration requests",4
"Senior careers:","Feedback request",4
"Senior careers:","How do I/How do you",1
"Senior careers:","Job search and hiring",82
"Tools & apps:","Articles, videos, educational resources",7
"Tools & apps:","Career growth and working with other people",11
"Tools & apps:","Examples and inspiration requests",9
"Tools & apps:","Feedback request",8
"Tools & apps:","How do I/How do you",35
"Tools & apps:","Job search and hiring",4
"Tools & apps:","Tools, apps, plugins",12
"UI Design:","Articles, videos, educational resources",30
"UI Design:","Career growth and working with other people",38
"UI Design:","Examples and inspiration requests",33
"UI Design:","Feedback request",46
"UI Design:","How do I/How do you",61
"UI Design:","Job search and hiring",10
"UI Design:","Tools, apps, plugins",4
"UX Research:","Articles, videos, educational resources",10
"UX Research:","Career growth and working with other people",19
"UX Research:","Examples and inspiration requests",14
"UX Research:","Feedback request",12
"UX Research:","How do I/How do you",32
"UX Research:","Job search and hiring",3
"UX Strategy & Management:","Articles, videos, educational resources",4
"UX Strategy & Management:","Career growth and working with other people",89
"UX Strategy & Management:","Examples and inspiration requests",7
"UX Strategy & Management:","Feedback request",6
"UX Strategy & Management:","How do I/How do you",33
"UX Strategy & Management:","Job search and hiring",11
"UX Writing:","Articles, videos, educational resources",1
"UX Writing:","Career growth and working with other people",3
"UX Writing:","Feedback request",2
"UX Writing:","How do I/How do you",3
"UX Writing:","Job search and hiring",1
