---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos, educational resources",7
"Articles, videos & educational resources:","Career growth and working with other people",48
"Articles, videos & educational resources:","Examples and inspiration requests",32
"Articles, videos & educational resources:","Feedback request",17
"Articles, videos & educational resources:","How do I/How do you",14
"Articles, videos & educational resources:","Job search and hiring",12
"Articles, videos & educational resources:","Tools, apps, plugins",4
"Junior careers:","Feedback request",1
"Junior careers:","How do I/How do you",1
"Junior careers:","Job search and hiring",2
"Senior careers:","Articles, videos, educational resources",1
"Senior careers:","Career growth and working with other people",120
"Senior careers:","Examples and inspiration requests",6
"Senior careers:","Feedback request",55
"Senior careers:","How do I/How do you",10
"Senior careers:","Job search and hiring",168
"Senior careers:","Tools, apps, plugins",2
"Tools & apps:","Articles, videos, educational resources",2
"Tools & apps:","Career growth and working with other people",38
"Tools & apps:","Examples and inspiration requests",16
"Tools & apps:","Feedback request",58
"Tools & apps:","How do I/How do you",24
"Tools & apps:","Job search and hiring",10
"Tools & apps:","Tools, apps, plugins",42
"UI Design:","Articles, videos, educational resources",4
"UI Design:","Career growth and working with other people",27
"UI Design:","Examples and inspiration requests",42
"UI Design:","Feedback request",103
"UI Design:","How do I/How do you",40
"UI Design:","Job search and hiring",12
"UI Design:","Tools, apps, plugins",10
"UX Design:","Articles, videos, educational resources",5
"UX Design:","Career growth and working with other people",104
"UX Design:","Examples and inspiration requests",49
"UX Design:","Feedback request",146
"UX Design:","How do I/How do you",46
"UX Design:","Job search and hiring",59
"UX Design:","Tools, apps, plugins",7
"UX Research:","Articles, videos, educational resources",4
"UX Research:","Career growth and working with other people",26
"UX Research:","Examples and inspiration requests",16
"UX Research:","Feedback request",45
"UX Research:","How do I/How do you",43
"UX Research:","Job search and hiring",16
"UX Research:","Tools, apps, plugins",6
"UX Strategy & Management:","Articles, videos, educational resources",3
"UX Strategy & Management:","Career growth and working with other people",129
"UX Strategy & Management:","Examples and inspiration requests",11
"UX Strategy & Management:","Feedback request",75
"UX Strategy & Management:","How do I/How do you",19
"UX Strategy & Management:","Job search and hiring",35
"UX Strategy & Management:","Tools, apps, plugins",5
"UX Writing:","Articles, videos, educational resources",1
"UX Writing:","Career growth and working with other people",5
"UX Writing:","Examples and inspiration requests",2
"UX Writing:","Feedback request",6
"UX Writing:","How do I/How do you",6
"UX Writing:","Job search and hiring",2
