---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos, educational resources",57
"Articles, videos & educational resources:","Career growth and working with other people",27
"Articles, videos & educational resources:","Examples and inspiration requests",20
"Articles, videos & educational resources:","Feedback request",2
"Articles, videos & educational resources:","How do I/How do you",8
"Articles, videos & educational resources:","Job search and hiring",16
"Articles, videos & educational resources:","Tools, apps, plugins",3
"Junior careers:","Career growth and working with other people",2
"Junior careers:","How do I/How do you",1
"Junior careers:","Job search and hiring",1
"Senior careers:","Articles, videos, educational resources",5
"Senior careers:","Career growth and working with other people",136
"Senior careers:","Examples and inspiration requests",3
"Senior careers:","Feedback request",2
"Senior careers:","How do I/How do you",20
"Senior careers:","Job search and hiring",195
"Tools & apps:","Articles, videos, educational resources",4
"Tools & apps:","Career growth and working with other people",14
"Tools & apps:","Examples and inspiration requests",18
"Tools & apps:","Feedback request",4
"Tools & apps:","How do I/How do you",17
"Tools & apps:","Job search and hiring",9
"Tools & apps:","Tools, apps, plugins",124
"UI Design:","Articles, videos, educational resources",8
"UI Design:","Career growth and working with other people",23
"UI Design:","Examples and inspiration requests",55
"UI Design:","Feedback request",21
"UI Design:","How do I/How do you",84
"UI Design:","Job search and hiring",17
"UI Design:","Tools, apps, plugins",29
"UX Design:","Articles, videos, educational resources",23
"UX Design:","Career growth and working with other people",103
"UX Design:","Examples and inspiration requests",88
"UX Design:","Feedback request",24
"UX Design:","How do I/How do you",110
"UX Design:","Job search and hiring",49
"UX Design:","Tools, apps, plugins",19
"UX Research:","Articles, videos, educational resources",8
"UX Research:","Career growth and working with other people",13
"UX Research:","Examples and inspiration requests",30
"UX Research:","Feedback request",7
"UX Research:","How do I/How do you",78
"UX Research:","Job search and hiring",12
"UX Research:","Tools, apps, plugins",8
"UX Strategy & Management:","Articles, videos, educational resources",7
"UX Strategy & Management:","Career growth and working with other people",136
"UX Strategy & Management:","Examples and inspiration requests",17
"UX Strategy & Management:","Feedback request",1
"UX Strategy & Management:","How do I/How do you",70
"UX Strategy & Management:","Job search and hiring",34
"UX Strategy & Management:","Tools, apps, plugins",9
"UX Writing:","Articles, videos, educational resources",1
"UX Writing:","Career growth and working with other people",1
"UX Writing:","Examples and inspiration requests",4
"UX Writing:","Feedback request",1
"UX Writing:","How do I/How do you",9
"UX Writing:","Job search and hiring",4
"UX Writing:","Tools, apps, plugins",2
