---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos & educational resources",60
"Articles, videos & educational resources:","Junior careers",5
"Articles, videos & educational resources:","Senior careers",21
"Articles, videos & educational resources:","Tools & apps",1
"Articles, videos & educational resources:","UI Design",6
"Articles, videos & educational resources:","UX Design",20
"Articles, videos & educational resources:","UX Research",4
"Articles, videos & educational resources:","UX Strategy & Management",16
"Articles, videos & educational resources:","UX Writing",1
"Junior careers:","Junior careers",1
"Junior careers:","Senior careers",3
"Senior careers:","Articles, videos & educational resources",4
"Senior careers:","Junior careers",51
"Senior careers:","Senior careers",271
"Senior careers:","Tools & apps",2
"Senior careers:","UI Design",2
"Senior careers:","UX Design",10
"Senior careers:","UX Research",1
"Senior careers:","UX Strategy & Management",21
"Tools & apps:","Articles, videos & educational resources",7
"Tools & apps:","Junior careers",4
"Tools & apps:","Senior careers",12
"Tools & apps:","Tools & apps",126
"Tools & apps:","UI Design",10
"Tools & apps:","UX Design",12
"Tools & apps:","UX Research",8
"Tools & apps:","UX Strategy & Management",9
"Tools & apps:","UX Writing",2
"UI Design:","Articles, videos & educational resources",6
"UI Design:","Junior careers",10
"UI Design:","Senior careers",17
"UI Design:","Tools & apps",24
"UI Design:","UI Design",58
"UI Design:","UX Design",104
"UI Design:","UX Research",2
"UI Design:","UX Strategy & Management",14
"UI Design:","UX Writing",3
"UX Design:","Articles, videos & educational resources",20
"UX Design:","Junior careers",40
"UX Design:","Senior careers",67
"UX Design:","Tools & apps",22
"UX Design:","UI Design",47
"UX Design:","UX Design",156
"UX Design:","UX Research",14
"UX Design:","UX Strategy & Management",47
"UX Design:","UX Writing",3
"UX Research:","Articles, videos & educational resources",7
"UX Research:","Junior careers",6
"UX Research:","Senior careers",6
"UX Research:","Tools & apps",8
"UX Research:","UI Design",6
"UX Research:","UX Design",49
"UX Research:","UX Research",59
"UX Research:","UX Strategy & Management",13
"UX Research:","UX Writing",2
"UX Strategy & Management:","Articles, videos & educational resources",6
"UX Strategy & Management:","Junior careers",30
"UX Strategy & Management:","Senior careers",68
"UX Strategy & Management:","Tools & apps",3
"UX Strategy & Management:","UI Design",9
"UX Strategy & Management:","UX Design",44
"UX Strategy & Management:","UX Research",6
"UX Strategy & Management:","UX Strategy & Management",110
"UX Strategy & Management:","UX Writing",1
"UX Writing:","Articles, videos & educational resources",1
"UX Writing:","Senior careers",3
"UX Writing:","UI Design",1
"UX Writing:","UX Design",5
"UX Writing:","UX Strategy & Management",3
"UX Writing:","UX Writing",9
