---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos & educational resources",24
"Articles, videos & educational resources:","Junior careers",13
"Articles, videos & educational resources:","Senior careers",10
"Articles, videos & educational resources:","Tools & apps",6
"Articles, videos & educational resources:","UI Design",2
"Articles, videos & educational resources:","UX Design",60
"Articles, videos & educational resources:","UX Research",6
"Articles, videos & educational resources:","UX Strategy & Management",12
"Articles, videos & educational resources:","UX Writing",1
"Junior careers:","Junior careers",1
"Junior careers:","UX Design",2
"Junior careers:","UX Strategy & Management",1
"Senior careers:","Junior careers",73
"Senior careers:","Senior careers",138
"Senior careers:","Tools & apps",1
"Senior careers:","UI Design",1
"Senior careers:","UX Design",99
"Senior careers:","UX Research",1
"Senior careers:","UX Strategy & Management",46
"Tools & apps:","Articles, videos & educational resources",1
"Tools & apps:","Junior careers",11
"Tools & apps:","Tools & apps",100
"Tools & apps:","UI Design",1
"Tools & apps:","UX Design",67
"Tools & apps:","UX Research",6
"Tools & apps:","UX Strategy & Management",3
"UI Design:","Articles, videos & educational resources",2
"UI Design:","Junior careers",14
"UI Design:","Senior careers",4
"UI Design:","Tools & apps",19
"UI Design:","UI Design",14
"UI Design:","UX Design",176
"UI Design:","UX Research",1
"UI Design:","UX Strategy & Management",7
"UX Design:","Articles, videos & educational resources",5
"UX Design:","Junior careers",50
"UX Design:","Senior careers",19
"UX Design:","Tools & apps",14
"UX Design:","UI Design",15
"UX Design:","UX Design",268
"UX Design:","UX Research",9
"UX Design:","UX Strategy & Management",29
"UX Design:","UX Writing",1
"UX Research:","Articles, videos & educational resources",5
"UX Research:","Junior careers",11
"UX Research:","Tools & apps",4
"UX Research:","UI Design",4
"UX Research:","UX Design",93
"UX Research:","UX Research",30
"UX Research:","UX Strategy & Management",7
"UX Strategy & Management:","Articles, videos & educational resources",2
"UX Strategy & Management:","Junior careers",32
"UX Strategy & Management:","Senior careers",21
"UX Strategy & Management:","Tools & apps",3
"UX Strategy & Management:","UX Design",121
"UX Strategy & Management:","UX Research",3
"UX Strategy & Management:","UX Strategy & Management",94
"UX Writing:","Articles, videos & educational resources",1
"UX Writing:","UX Design",17
"UX Writing:","UX Strategy & Management",2
"UX Writing:","UX Writing",2
