---
config:
  sankey:
    showValues: false
---
sankey-beta
"Articles, videos & educational resources:","Articles, videos & educational resources",61
"Articles, videos & educational resources:","Junior careers",7
"Articles, videos & educational resources:","Senior careers",8
"Articles, videos & educational resources:","Tools & apps",3
"Articles, videos & educational resources:","UI Design",3
"Articles, videos & educational resources:","UX Design",25
"Articles, videos & educational resources:","UX Research",9
"Articles, videos & educational resources:","UX Strategy & Management",16
"Articles, videos & educational resources:","UX Writing",1
"Junior careers:","Junior careers",1
"Junior careers:","Senior careers",1
"Junior careers:","UX Strategy & Management",2
"Senior careers:","Articles, videos & educational resources",2
"Senior careers:","Junior careers",69
"Senior careers:","Senior careers",175
"Senior careers:","Tools & apps",1
"Senior careers:","UI Design",3
"Senior careers:","UX Design",21
"Senior careers:","UX Research",9
"Senior careers:","UX Strategy & Management",80
"Senior careers:","UX Writing",1
"Tools & apps:","Articles, videos & educational resources",4
"Tools & apps:","Junior careers",6
"Tools & apps:","Senior careers",3
"Tools & apps:","Tools & apps",128
"Tools & apps:","UI Design",2
"Tools & apps:","UX Design",16
"Tools & apps:","UX Research",19
"Tools & apps:","UX Strategy & Management",8
"Tools & apps:","UX Writing",3
"UI Design:","Articles, videos & educational resources",10
"UI Design:","Junior careers",12
"UI Design:","Senior careers",5
"UI Design:","Tools & apps",23
"UI Design:","UI Design",23
"UI Design:","UX Design",124
"UI Design:","UX Research",22
"UI Design:","UX Strategy & Management",16
"UI Design:","UX Writing",2
"UX Design:","Articles, videos & educational resources",24
"UX Design:","Junior careers",46
"UX Design:","Senior careers",27
"UX Design:","Tools & apps",16
"UX Design:","UI Design",24
"UX Design:","UX Design",162
"UX Design:","UX Research",48
"UX Design:","UX Strategy & Management",68
"UX Design:","UX Writing",1
"UX Research:","Articles, videos & educational resources",4
"UX Research:","Junior careers",6
"UX Research:","Tools & apps",6
"UX Research:","UI Design",6
"UX Research:","UX Design",39
"UX Research:","UX Research",73
"UX Research:","UX Strategy & Management",20
"UX Research:","UX Writing",2
"UX Strategy & Management:","Articles, videos & educational resources",3
"UX Strategy & Management:","Junior careers",16
"UX Strategy & Management:","Senior careers",33
"UX Strategy & Management:","Tools & apps",5
"UX Strategy & Management:","UI Design",2
"UX Strategy & Management:","UX Design",44
"UX Strategy & Management:","UX Research",17
"UX Strategy & Management:","UX Strategy & Management",155
"UX Writing:","Articles, videos & educational resources",2
"UX Writing:","Senior careers",2
"UX Writing:","Tools & apps",1
"UX Writing:","UX Design",3
"UX Writing:","UX Research",4
"UX Writing:","UX Strategy & Management",3
"UX Writing:","UX Writing",7
